Sale price,Regular price,SKU,Name,Short description,Description,Categories,Images
10.28,11.42,PZ464B0426AB / 2700,Toyota Yaris 2005-2013 Parking Aid Sensor Adaptor Primered,,"Toyota Yaris 2005-2013 Parking Aid Sensor Adaptor Primered
Picture is for illustration purposes only.
Suitable for the Toyota Yaris 2005-2013 
Please email if you are unsure about fitment.
Toyota part number – PZ464B0426AB
Sensor adaptors for the parking aid sensors available in the vehicle’s body colour.
Genuine Toyota part. Secure online payment.
Any questions or to confirm this item is correct, please Click Here to contact us.
Facebook user?  Click Here to view our Facebook page
Toyotapartsdirect provide 100% quality assured Toyota spare parts.
Our spare parts are genuine and fully backed by the manufacturers 12 MONTH warranty.
Contact us for more details on Toyota parts, accessories and merchandise online.
Toyota Yaris 2005-2013 Parking Aid Sensor Adaptor Primered PZ464B0426AB  We will contact you once an order is placed to inform if the item is in stock or not.","Accessories,Toyota Yaris,Yaris Mk 2 (2005-2013)",https://toyotadirectparts.co.uk/wp-content/uploads/PZ464-B0426-AB_T_1.jpeg
93.96,104.40,PZ46400423PD / 2675,Toyota Yaris 2005-2013 Parking Aid Sensor Kit Black Unpainted & Light Blue Mica Metallic 8S7 Colour,,"Toyota Yaris 2005-2013 Parking Aid Sensor Kit Black Unpainted & Light Blue Mica Metallic 8S7 Colour
Picture is for illustration purposes only.
Suitable for the Toyota Yaris 2005-2013 
Please email if you are unsure about fitment.
Toyota part number – PZ46400423PD
Kit of 4 TPA sensors 2 sensors painted to match your car’s colour & 2 sensors black unpainted for the front of the vehicle.
Genuine Toyota part. Secure online payment.
Any questions or to confirm this item is correct, please Click Here to contact us.
Facebook user?  Click Here to view our Facebook page
Toyotapartsdirect provide 100% quality assured Toyota spare parts.
Our spare parts are genuine and fully backed by the manufacturers 12 MONTH warranty.
Contact us for more details on Toyota parts, accessories and merchandise online.
Toyota Yaris 2005-2013 Parking Aid Sensor Kit Black Unpainted & Light Blue Mica Metallic 8S7 Colour PZ46400423PD  We will contact you once an order is placed to inform if the item is in stock or not.","Accessories,Toyota Yaris,Yaris Mk 2 (2005-2013)",https://toyotadirectparts.co.uk/wp-content/uploads/PZ464-00423-PD_T_1.jpeg
117.85,130.94,PZ46400423GR / 2664,Toyota Yaris 2005-2013 Parking Aid Sensor Kit Black Unpainted & Red Mica Metallic 3N8 Colour,,"Toyota Yaris 2005-2013 Parking Aid Sensor Kit Black Unpainted & Red Mica Metallic 3N8 Colour
Picture is for illustration purposes only.
Suitable for the Toyota Yaris 2005-2013 
Please email if you are unsure about fitment.
Toyota part number – PZ46400423GR
Kit of 4 TPA sensors 2 sensors painted to match your car’s colour & 2 sensors black unpainted for the front of the vehicle.
Genuine Toyota part. Secure online payment.
Any questions or to confirm this item is correct, please Click Here to contact us.
Facebook user?  Click Here to view our Facebook page
Toyotapartsdirect provide 100% quality assured Toyota spare parts.
Our spare parts are genuine and fully backed by the manufacturers 12 MONTH warranty.
Contact us for more details on Toyota parts, accessories and merchandise online.
Toyota Yaris 2005-2013 Parking Aid Sensor Kit Black Unpainted & Red Mica Metallic 3N8 Colour PZ46400423GR  We will contact you once an order is placed to inform if the item is in stock or not.","Accessories,Toyota Yaris,Yaris Mk 2 (2005-2013)",https://toyotadirectparts.co.uk/wp-content/uploads/PZ464-00423-GR_T_1.jpeg
117.85,130.94,PZ46400423CR / 2660,Toyota Yaris 2005-2013 Parking Aid Sensor Kit Black Unpainted & White 068 Colour,,"Toyota Yaris 2005-2013 Parking Aid Sensor Kit Black Unpainted & White 068 Colour
Picture is for illustration purposes only.
Suitable for the Toyota Yaris 2005-2013 
Please email if you are unsure about fitment.
Toyota part number – PZ46400423CR
Kit of 4 TPA sensors 2 sensors painted to match your car’s colour & 2 sensors black unpainted for the front of the vehicle.
Genuine Toyota part. Secure online payment.
Any questions or to confirm this item is correct, please Click Here to contact us.
Facebook user?  Click Here to view our Facebook page
Toyotapartsdirect provide 100% quality assured Toyota spare parts.
Our spare parts are genuine and fully backed by the manufacturers 12 MONTH warranty.
Contact us for more details on Toyota parts, accessories and merchandise online.
Toyota Yaris 2005-2013 Parking Aid Sensor Kit Black Unpainted & White 068 Colour PZ46400423CR  We will contact you once an order is placed to inform if the item is in stock or not.","Accessories,Toyota Yaris,Yaris Mk 2 (2005-2013)",https://toyotadirectparts.co.uk/wp-content/uploads/PZ464-00423-CR_T_1.jpeg
97.77,108.64,PZ46400422PU / 2652,Toyota Yaris 2005-2013 Parking Aid Sensor Kit Painted Glacier White 084 Colour,,"Toyota Yaris 2005-2013 Parking Aid Sensor Kit Painted Glacier White 084 Colour
Picture is for illustration purposes only.
Suitable for the Toyota Yaris 2005-2013 
Please email if you are unsure about fitment.
Toyota part number – PZ46400422PU
Kit of 4 TPA sensors painted to match your car’s colour for either the front or the rear of the vehicle.
Genuine Toyota part. Secure online payment.
Any questions or to confirm this item is correct, please Click Here to contact us.
Facebook user?  Click Here to view our Facebook page
Toyotapartsdirect provide 100% quality assured Toyota spare parts.
Our spare parts are genuine and fully backed by the manufacturers 12 MONTH warranty.
Contact us for more details on Toyota parts, accessories and merchandise online.
Toyota Yaris 2005-2013 Parking Aid Sensor Kit Painted Glacier White 084 Colour PZ46400422PU  We will contact you once an order is placed to inform if the item is in stock or not.","Accessories,Toyota Yaris,Yaris Mk 2 (2005-2013)",https://toyotadirectparts.co.uk/wp-content/uploads/PZ464-00422-PU_T_1.jpeg
117.85,130.94,PZ46400423PU / 2676,Toyota Yaris 2005-2013 Parking Aid Sensor Kit Unpainted & Glacier White 084 Colour,,"Toyota Yaris 2005-2013 Parking Aid Sensor Kit Unpainted & Glacier White 084 Colour
Picture is for illustration purposes only.
Suitable for the Toyota Yaris 2005-2013 
Please email if you are unsure about fitment.
Toyota part number – PZ46400423PU
Kit of 4 TPA sensors 2 sensors painted to match your car’s colour & 2 sensors black unpainted for the front of the vehicle.
Genuine Toyota part. Secure online payment.
Any questions or to confirm this item is correct, please Click Here to contact us.
Facebook user?  Click Here to view our Facebook page
Toyotapartsdirect provide 100% quality assured Toyota spare parts.
Our spare parts are genuine and fully backed by the manufacturers 12 MONTH warranty.
Contact us for more details on Toyota parts, accessories and merchandise online.
Toyota Yaris 2005-2013 Parking Aid Sensor Kit Unpainted & Glacier White 084 Colour PZ46400423PU  We will contact you once an order is placed to inform if the item is in stock or not.","Accessories,Toyota Yaris,Yaris Mk 2 (2005-2013)",https://toyotadirectparts.co.uk/wp-content/uploads/PZ464-00423-PU_T_1.jpeg
117.85,130.94,PZ46400423PC / 2674,Toyota Yaris 2005-2013 Parking Aid Sensor Kit Unpainted & Reflex Tourquoise Mica Metallic 788 Colour,,"Toyota Yaris 2005-2013 Parking Aid Sensor Kit Unpainted & Reflex Tourquoise Mica Metallic 788 Colour
Picture is for illustration purposes only.
Suitable for the Toyota Yaris 2005-2013 
Please email if you are unsure about fitment.
Toyota part number – PZ46400423PC
Kit of 4 TPA sensors 2 sensors painted to match your car’s colour & 2 sensors black unpainted for the front of the vehicle.
Genuine Toyota part. Secure online payment.
Any questions or to confirm this item is correct, please Click Here to contact us.
Facebook user?  Click Here to view our Facebook page
Toyotapartsdirect provide 100% quality assured Toyota spare parts.
Our spare parts are genuine and fully backed by the manufacturers 12 MONTH warranty.
Contact us for more details on Toyota parts, accessories and merchandise online.
Toyota Yaris 2005-2013 Parking Aid Sensor Kit Unpainted & Reflex Tourquoise Mica Metallic 788 Colour PZ46400423PC  We will contact you once an order is placed to inform if the item is in stock or not.","Accessories,Toyota Yaris,Yaris Mk 2 (2005-2013)",https://toyotadirectparts.co.uk/wp-content/uploads/PZ464-00423-PC_T_1.jpeg
97.77,108.64,PZ46400422CR / 2576,Toyota Yaris 2005-2013 Parking Aid Sensors Kit White 068 Colour,,"Toyota Yaris 2005-2013 Parking Aid Sensors Kit White 068 Colour
Picture is for illustration purposes only.
Suitable for the Toyota Yaris 2005-2013 
Please email if you are unsure about fitment.
Toyota part number – PZ46400422CR
Kit of 4 TPA sensors painted to match your car’s colour for either the front or the rear of the vehicle.
Genuine Toyota part. Secure online payment.
Any questions or to confirm this item is correct, please Click Here to contact us.
Facebook user?  Click Here to view our Facebook page
Toyotapartsdirect provide 100% quality assured Toyota spare parts.
Our spare parts are genuine and fully backed by the manufacturers 12 MONTH warranty.
Contact us for more details on Toyota parts, accessories and merchandise online.
Toyota Yaris 2005-2013 Parking Aid Sensors Kit White 068 Colour PZ46400422CR  We will contact you once an order is placed to inform if the item is in stock or not.","Accessories,Toyota Yaris,Yaris Mk 2 (2005-2013)",https://toyotadirectparts.co.uk/wp-content/uploads/PZ464-00422-CR_T_1.jpeg
97.77,108.64,PZ46400422PD / 2639,Toyota Yaris 2005-2013 Parking Sensors Kit Light Blue Mica Metallic,,"Toyota Yaris 2005-2013 Parking Sensors Kit Light Blue Mica Metallic
Picture is for illustration purposes only.
Suitable for the Toyota Yaris 2005-2013 
Please email if you are unsure about fitment.
Toyota part number – PZ46400422PD
Ultrasonic sensors for parking aid system and are available in most body colours.
Genuine Toyota part. Secure online payment.
Any questions or to confirm this item is correct, please Click Here to contact us.
Facebook user?  Click Here to view our Facebook page
Toyotapartsdirect provide 100% quality assured Toyota spare parts.
Our spare parts are genuine and fully backed by the manufacturers 12 MONTH warranty.
Contact us for more details on Toyota parts, accessories and merchandise online.
Toyota Yaris 2005-2013 Parking Sensors Kit Light Blue Mica Metallic PZ46400422PD  We will contact you once an order is placed to inform if the item is in stock or not.","Accessories,Toyota Yaris,Yaris Mk 2 (2005-2013)",https://toyotadirectparts.co.uk/wp-content/uploads/PZ464-00422-PD_T_1.jpeg
97.77,108.64,PZ46400422GR / 2596,Toyota Yaris 2005-2013 Parking Sensors Kit Red Mica Metallic,,"Toyota Yaris 2005-2013 Parking Sensors Kit Red Mica Metallic
Picture is for illustration purposes only.
Suitable for the Toyota Yaris 2005-2013 
Please email if you are unsure about fitment.
Toyota part number – PZ46400422GR
Ultrasonic sensors for parking aid system and are available in most body colours.
Genuine Toyota part. Secure online payment.
Any questions or to confirm this item is correct, please Click Here to contact us.
Facebook user?  Click Here to view our Facebook page
Toyotapartsdirect provide 100% quality assured Toyota spare parts.
Our spare parts are genuine and fully backed by the manufacturers 12 MONTH warranty.
Contact us for more details on Toyota parts, accessories and merchandise online.
Toyota Yaris 2005-2013 Parking Sensors Kit Red Mica Metallic PZ46400422GR  We will contact you once an order is placed to inform if the item is in stock or not.","Accessories,Toyota Yaris,Yaris Mk 2 (2005-2013)",https://toyotadirectparts.co.uk/wp-content/uploads/PZ464-00422-GR_T_1.jpeg
48.89,54.32,PZ46400424CF / 2682,Toyota Yaris 2005-2013 Parking Sensors Kit Super Red,,"Toyota Yaris 2005-2013 Parking Sensors Kit Super Red
Picture is for illustration purposes only.
Suitable for the Toyota Yaris 2005-2013 
Please email if you are unsure about fitment.
Toyota part number – PZ46400424CF
Ultrasonic sensors for parking aid system and are available in most body colours.
Genuine Toyota part. Secure online payment.
Any questions or to confirm this item is correct, please Click Here to contact us.
Facebook user?  Click Here to view our Facebook page
Toyotapartsdirect provide 100% quality assured Toyota spare parts.
Our spare parts are genuine and fully backed by the manufacturers 12 MONTH warranty.
Contact us for more details on Toyota parts, accessories and merchandise online.
Toyota Yaris 2005-2013 Parking Sensors Kit Super Red PZ46400424CF  We will contact you once an order is placed to inform if the item is in stock or not.","Accessories,Toyota Yaris,Yaris Mk 2 (2005-2013)",https://toyotadirectparts.co.uk/wp-content/uploads/PZ464-00424-CF_T_1.jpeg
97.77,108.64,PZ46400422CF / 2573,Toyota Yaris 2005-2013 Parking Sensors Kit Super Red,,"Toyota Yaris 2005-2013 Parking Sensors Kit Super Red
Picture is for illustration purposes only.
Suitable for the Toyota Yaris 2005-2013 
Please email if you are unsure about fitment.
Toyota part number – PZ46400422CF
Ultrasonic sensors for parking aid system and are available in most body colours.
Genuine Toyota part. Secure online payment.
Any questions or to confirm this item is correct, please Click Here to contact us.
Facebook user?  Click Here to view our Facebook page
Toyotapartsdirect provide 100% quality assured Toyota spare parts.
Our spare parts are genuine and fully backed by the manufacturers 12 MONTH warranty.
Contact us for more details on Toyota parts, accessories and merchandise online.
Toyota Yaris 2005-2013 Parking Sensors Kit Super Red PZ46400422CF  We will contact you once an order is placed to inform if the item is in stock or not.","Accessories,Toyota Yaris,Yaris Mk 2 (2005-2013)",https://toyotadirectparts.co.uk/wp-content/uploads/PZ464-00422-CF_T_1.jpeg
142.27,158.08,PZ406B067BZG / 1598,Toyota Yaris 2005-2013 Podium Ii 15″ Anthracite,,"Toyota Yaris 2005-2013 Podium Ii 15″ Anthracite
Picture is for illustration purposes only.
Suitable for the Toyota Yaris 2005-2013 
Please email if you are unsure about fitment.
Toyota part number – PZ406B067BZG
Especially designed for the vehicle, alloy wheels add even more distinction to your car’s outstanding good looks. They are lightweight, strong and with a durable high quality finish.
Genuine Toyota part. Secure online payment.
Any questions or to confirm this item is correct, please Click Here to contact us.
Facebook user?  Click Here to view our Facebook page
Toyotapartsdirect provide 100% quality assured Toyota spare parts.
Our spare parts are genuine and fully backed by the manufacturers 12 MONTH warranty.
Contact us for more details on Toyota parts, accessories and merchandise online.
Toyota Yaris 2005-2013 Podium Ii 15″ Anthracite PZ406B067BZG  We will contact you once an order is placed to inform if the item is in stock or not.","Accessories,Toyota Yaris,Yaris Mk 2 (2005-2013)",https://toyotadirectparts.co.uk/wp-content/uploads/PZ406-B067B-ZG_T_1.jpeg
152.25,169.16,PZ406B067BZS / 1600,Toyota Yaris 2005-2013 Podium Ii 15″ Anthracite Machined,,"Toyota Yaris 2005-2013 Podium Ii 15″ Anthracite Machined
Picture is for illustration purposes only.
Suitable for the Toyota Yaris 2005-2013 
Please email if you are unsure about fitment.
Toyota part number – PZ406B067BZS
Especially designed for the vehicle, alloy wheels add even more distinction to your car’s outstanding good looks. They are lightweight, strong and with a durable high quality finish.
Genuine Toyota part. Secure online payment.
Any questions or to confirm this item is correct, please Click Here to contact us.
Facebook user?  Click Here to view our Facebook page
Toyotapartsdirect provide 100% quality assured Toyota spare parts.
Our spare parts are genuine and fully backed by the manufacturers 12 MONTH warranty.
Contact us for more details on Toyota parts, accessories and merchandise online.
Toyota Yaris 2005-2013 Podium Ii 15″ Anthracite Machined PZ406B067BZS  We will contact you once an order is placed to inform if the item is in stock or not.","Accessories,Toyota Yaris,Yaris Mk 2 (2005-2013)",https://toyotadirectparts.co.uk/wp-content/uploads/PZ406-B067B-ZS_T_1.jpeg
160.86,178.73,PZ406B067DZG / 1601,Toyota Yaris 2005-2013 Podium Ii 16″ Anthracite,,"Toyota Yaris 2005-2013 Podium Ii 16″ Anthracite
Picture is for illustration purposes only.
Suitable for the Toyota Yaris 2005-2013 
Please email if you are unsure about fitment.
Toyota part number – PZ406B067DZG
Especially designed for the vehicle, alloy wheels add even more distinction to your car’s outstanding good looks. They are lightweight, strong and with a durable high quality finish.
Genuine Toyota part. Secure online payment.
Any questions or to confirm this item is correct, please Click Here to contact us.
Facebook user?  Click Here to view our Facebook page
Toyotapartsdirect provide 100% quality assured Toyota spare parts.
Our spare parts are genuine and fully backed by the manufacturers 12 MONTH warranty.
Contact us for more details on Toyota parts, accessories and merchandise online.
Toyota Yaris 2005-2013 Podium Ii 16″ Anthracite PZ406B067DZG  We will contact you once an order is placed to inform if the item is in stock or not.","Accessories,Toyota Yaris,Yaris Mk 2 (2005-2013)",https://toyotadirectparts.co.uk/wp-content/uploads/PZ406-B067D-ZG_T_1.jpeg
171.51,190.57,PZ406B067DZS / 1604,Toyota Yaris 2005-2013 Podium Ii 16″ Anthracite Machined,,"Toyota Yaris 2005-2013 Podium Ii 16″ Anthracite Machined
Picture is for illustration purposes only.
Suitable for the Toyota Yaris 2005-2013 
Please email if you are unsure about fitment.
Toyota part number – PZ406B067DZS
Especially designed for the vehicle, alloy wheels add even more distinction to your car’s outstanding good looks. They are lightweight, strong and with a durable high quality finish.
Genuine Toyota part. Secure online payment.
Any questions or to confirm this item is correct, please Click Here to contact us.
Facebook user?  Click Here to view our Facebook page
Toyotapartsdirect provide 100% quality assured Toyota spare parts.
Our spare parts are genuine and fully backed by the manufacturers 12 MONTH warranty.
Contact us for more details on Toyota parts, accessories and merchandise online.
Toyota Yaris 2005-2013 Podium Ii 16″ Anthracite Machined PZ406B067DZS  We will contact you once an order is placed to inform if the item is in stock or not.","Accessories,Toyota Yaris,Yaris Mk 2 (2005-2013)",https://toyotadirectparts.co.uk/wp-content/uploads/PZ406-B067D-ZS_T_1.jpeg
42.23,46.92,PZ49HB13A1QW / 3028,Toyota Yaris 2005-2013 Quarter Window Sunblind Set,,"Toyota Yaris 2005-2013 Quarter Window Sunblind Set
Picture is for illustration purposes only.
Suitable for the Toyota Yaris 2005-2013 
Please email if you are unsure about fitment.
Toyota part number – PZ49HB13A1QW
Protects against the sun while shielding against prying eyes.
Genuine Toyota part. Secure online payment.
Any questions or to confirm this item is correct, please Click Here to contact us.
Facebook user?  Click Here to view our Facebook page
Toyotapartsdirect provide 100% quality assured Toyota spare parts.
Our spare parts are genuine and fully backed by the manufacturers 12 MONTH warranty.
Contact us for more details on Toyota parts, accessories and merchandise online.
Toyota Yaris 2005-2013 Quarter Window Sunblind Set PZ49HB13A1QW  We will contact you once an order is placed to inform if the item is in stock or not.","Accessories,Toyota Yaris,Yaris Mk 2 (2005-2013)",https://toyotadirectparts.co.uk/wp-content/uploads/PZ49H-B13A1-QW_T_1.jpeg
9.51,10.57,85212-YZZAW,Toyota Yaris 2005-2013 R/H Front Wiper Blade,,"Toyota Yaris 2005-2013 R/H Front Wiper Blade
Suitable for the Toyota Yaris 2005-2011
Toyota part number: 85212-YZZAW
Genuine Toyota part. Secure online payment.
Any questions or to confirm this item is correct, please click here to contact us.
Facebook user? Click here to view our Facebook page
Toyotapartsdirect provide 100% quality assured Toyota spare parts.
Our spare parts are genuine and fully backed by the manufacturers 12 MONTH warranty.
Contact us for more details on Toyota parts, accessories and merchandise online.  We will contact you once an order is placed to inform if the item is in stock or not.","Exterior/Interior,Toyota Yaris,Yaris Mk 2 (2005-2013)",https://toyotadirectparts.co.uk/wp-content/uploads/wiper-2.jpg
29.68,32.98,52575-0D030,Toyota Yaris 2005-2013 R/H Rear Bumper Retainer Bracket,,"Toyota Yaris 2005-2013 R/H Rear Bumper Retainer Bracket
Suitable for the Toyota Yaris 2011 – 2015
Toyota part number – 52575-0D030
Genuine Toyota part. Secure online payment.
Any questions or to confirm this item is correct, please click here to contact us.
Facebook user? Click here to view our Facebook page
Toyotapartsdirect provide 100% quality assured Toyota spare parts.
Our spare parts are genuine and fully backed by the manufacturers 12 MONTH warranty.
Contact us for more details on Toyota parts, accessories and merchandise online. We will contact you once an order is placed to inform if the item is in stock or not.","Exterior/Interior,Toyota Yaris,Yaris Mk 2 (2005-2013)",https://toyotadirectparts.co.uk/wp-content/uploads/Yaris-23.jpg
22.76,24.60,81554-0D390 / Yaris,Toyota Yaris 2005-2013 R/H Rear Combination Lamp Gasket,"
Toyota Yaris 2005-2013 R/H Rear Combination Lamp Gasket
","Toyota Yaris 2005-2013 R/H Rear Combination Lamp Gasket
Suitable for the Toyota Yaris 2005-2013
Toyota part number: 81554-0D390
Genuine Toyota part. Secure online payment.
Any questions or to confirm this item is correct, please click here to contact us.
Facebook user? Click here to view our Facebook page
Toyotapartsdirect provide 100% quality assured Toyota spare parts.
Our spare parts are genuine and fully backed by the manufacturers 12 MONTH warranty.
Contact us for more details on Toyota parts, accessories and merchandise online. We will contact you once an order is placed to inform if the item is in stock or not.","Exterior/Interior,Toyota Yaris,Yaris Mk 2 (2005-2013)",https://toyotadirectparts.co.uk/wp-content/uploads/81562-02391.jpg
22.76,24.60,81554-0D370 / Yaris,Toyota Yaris 2005-2013 R/H Rear Light Assembly Gasket,,"Toyota Yaris 2005-2013 R/H Rear Light Assembly Gasket
Suitable for the Toyota Yaris 2011 – 2015
Toyota part number – 81554-0D370
Genuine Toyota part. Secure online payment.
Any questions or to confirm this item is correct, please click here to contact us.
Facebook user? Click here to view our Facebook page
Toyotapartsdirect provide 100% quality assured Toyota spare parts.
Our spare parts are genuine and fully backed by the manufacturers 12 MONTH warranty.
Contact us for more details on Toyota parts, accessories and merchandise online. We will contact you once an order is placed to inform if the item is in stock or not.","Exterior/Interior,Toyota Yaris,Yaris Mk 2 (2005-2013)",https://toyotadirectparts.co.uk/wp-content/uploads/Yaris-22.jpg
22.76,24.60,81554-0D370,Toyota Yaris 2005-2013 R/H Rear Light Assembly Gasket,,"Toyota Yaris 2005-2013 R/H Rear Light Assembly Gasket
Suitable for the Toyota Yaris 2011 – 2015
Toyota part number – 81554-0D370
Genuine Toyota part. Secure online payment.
Any questions or to confirm this item is correct, please click here to contact us.
Facebook user? Click here to view our Facebook page
Toyotapartsdirect provide 100% quality assured Toyota spare parts.
Our spare parts are genuine and fully backed by the manufacturers 12 MONTH warranty.
Contact us for more details on Toyota parts, accessories and merchandise online.  We will contact you once an order is placed to inform if the item is in stock or not.","Exterior/Interior,Toyota Yaris,Yaris Mk 2 (2005-2013)",
22.88,24.73,81554-0D250 / Yaris,Toyota Yaris 2005-2013 R/H Rear Light Assembly Gasket,,"Toyota Yaris 2005-2013 R/H Rear Light Assembly Gasket
Suitable for the Toyota Yaris 2011 – 2015
Toyota part number – 81554-0D250
Genuine Toyota part. Secure online payment.
Any questions or to confirm this item is correct, please click here to contact us.
Facebook user? Click here to view our Facebook page
Toyotapartsdirect provide 100% quality assured Toyota spare parts.
Our spare parts are genuine and fully backed by the manufacturers 12 MONTH warranty.
Contact us for more details on Toyota parts, accessories and merchandise online. We will contact you once an order is placed to inform if the item is in stock or not.","Exterior/Interior,Toyota Yaris,Yaris Mk 2 (2005-2013)",https://toyotadirectparts.co.uk/wp-content/uploads/Yaris-22.jpg
26.37,28.51,81554-0D110,Toyota Yaris 2005-2013 R/H Rear Light Assembly Gasket,,"Toyota Yaris 2005-2013 R/H Rear Light Assembly Gasket
Suitable for the Toyota Yaris 2011 – 2015
Toyota part number – 81554-0D110
Genuine Toyota part. Secure online payment.
Any questions or to confirm this item is correct, please click here to contact us.
Facebook user? Click here to view our Facebook page
Toyotapartsdirect provide 100% quality assured Toyota spare parts.
Our spare parts are genuine and fully backed by the manufacturers 12 MONTH warranty.
Contact us for more details on Toyota parts, accessories and merchandise online. We will contact you once an order is placed to inform if the item is in stock or not.","Exterior/Interior,Toyota Yaris,Yaris Mk 2 (2005-2013)",https://toyotadirectparts.co.uk/wp-content/uploads/Yaris-22.jpg
213.19,230.47,87910-0D630,Toyota Yaris 2005-2013 R/H Wing Mirror,,"Toyota Yaris 2005-2013 R/H Wing Mirror
Suitable for the Toyota Yaris 2005-2013
Toyota part number: 87910-0D630
Genuine Toyota part. Secure online payment.
Any questions or to confirm this item is correct, please click here to contact us.
Facebook user? Click here to view our Facebook page
Toyotapartsdirect provide 100% quality assured Toyota spare parts.
Our spare parts are genuine and fully backed by the manufacturers 12 MONTH warranty.
Contact us for more details on Toyota parts, accessories and merchandise online.  We will contact you once an order is placed to inform if the item is in stock or not.","Exterior/Interior,Toyota Yaris,Yaris Mk 2 (2005-2013)",https://toyotadirectparts.co.uk/wp-content/uploads/wing-mirror-1.jpg
35.39,39.32,87915-0D901 / Yaris,Toyota Yaris 2005-2013 R/H Wing Mirror Cover,,"Toyota Yaris 2005-2013 R/H Wing Mirror Cover
Suitable for the Toyota Yaris 2005-2011
Toyota part number: 87915-0D901 (Comes un-painted)
Genuine Toyota part. Secure online payment.
Any questions or to confirm this item is correct, please click here to contact us.
Facebook user? Click here to view our Facebook page
Toyotapartsdirect provide 100% quality assured Toyota spare parts.
Our spare parts are genuine and fully backed by the manufacturers 12 MONTH warranty.
Contact us for more details on Toyota parts, accessories and merchandise online. We will contact you once an order is placed to inform if the item is in stock or not.","Exterior/Interior,Toyota Yaris,Yaris Mk 2 (2005-2013)",https://toyotadirectparts.co.uk/wp-content/uploads/Hilux-2.jpg
30.13,33.48,PZ438B018800 / 2216,Toyota Yaris 2005-2013 Rear Bumper Protection Film,,"Toyota Yaris 2005-2013 Rear Bumper Protection Film
Picture is for illustration purposes only.
Suitable for the Toyota Yaris 2005-2013 
Please email if you are unsure about fitment.
Toyota part number – PZ438B018800
Helps protect the rear bumper paintwork against those small scrapes and scratches that can occur when loading or unloading the boot. Made of tough transparent self-adhesive film and custom shaped to fit the vehicle’s bumper.
Genuine Toyota part. Secure online payment.
Any questions or to confirm this item is correct, please Click Here to contact us.
Facebook user?  Click Here to view our Facebook page
Toyotapartsdirect provide 100% quality assured Toyota spare parts.
Our spare parts are genuine and fully backed by the manufacturers 12 MONTH warranty.
Contact us for more details on Toyota parts, accessories and merchandise online.
Toyota Yaris 2005-2013 Rear Bumper Protection Film PZ438B018800  We will contact you once an order is placed to inform if the item is in stock or not.","Accessories,Toyota Yaris,Yaris Mk 2 (2005-2013)",https://toyotadirectparts.co.uk/wp-content/uploads/PZ438-B0188-00_T_1.jpeg
102.62,114.02,PZ467B0520ZB / 2754,Toyota Yaris 2005-2013 Rear Bumper Protection Plate,,"Toyota Yaris 2005-2013 Rear Bumper Protection Plate
Picture is for illustration purposes only.
Suitable for the Toyota Yaris 2005-2013 
Please email if you are unsure about fitment.
Toyota part number – PZ467B0520ZB
Designed to protect the rear bumper paintwork against scratching when sliding heavy or awkward loads into the boot. It is also particularly effective for guarding the paintwork of the boot area.
Genuine Toyota part. Secure online payment.
Any questions or to confirm this item is correct, please Click Here to contact us.
Facebook user?  Click Here to view our Facebook page
Toyotapartsdirect provide 100% quality assured Toyota spare parts.
Our spare parts are genuine and fully backed by the manufacturers 12 MONTH warranty.
Contact us for more details on Toyota parts, accessories and merchandise online.
Toyota Yaris 2005-2013 Rear Bumper Protection Plate PZ467B0520ZB  We will contact you once an order is placed to inform if the item is in stock or not.","Accessories,Toyota Yaris,Yaris Mk 2 (2005-2013)",https://toyotadirectparts.co.uk/wp-content/uploads/PZ467-B0520-ZB_T_1.jpeg
46.19,51.32,PZ415-B9522-00,Toyota Yaris 2005-2013 Rear Bumper Protection Plate Black,,"Toyota Yaris 2005-2013 Rear Bumper Protection Plate Black
Picture is for illustration purposes only.
Suitable for the Toyota Yaris 2005-2013
Please email if you are unsure about fitment.
Toyota part number – PZ415-B9522-00
Designed to protect the rear bumper paintwork against scratching when sliding heavy or awkward loads into the boot. It is also particularly effective for guarding the paintwork of the boot area.
Genuine Toyota part. Secure online payment.
Any questions or to confirm this item is correct, please Click Here to contact us.
Facebook user? Click Here to view our Facebook page
Toyotapartsdirect provide 100% quality assured Toyota spare parts.
Our spare parts are genuine and fully backed by the manufacturers 12 MONTH warranty.
Contact us for more details on Toyota parts, accessories and merchandise online.
Toyota Yaris 2005-2013 Rear Bumper Protection Plate Black PZ415B0520ZA We will contact you once an order is placed to inform if the item is in stock or not.","Accessories,Toyota Yaris,Yaris Mk 2 (2005-2013)",https://toyotadirectparts.co.uk/wp-content/uploads/Yaris-5.jpg
